Execution Date, Executed By, INPUT_DIRECTORY, INPUT_FOLDER, OUTPUT_DIRECTORY, OUTPUT_FOLDER_UNIQUE, data reads, preprocessing, endpoints, tables, init_image, DROP_total,  iteration 1,  iteration 2,  iteration 3,  iteration 4,  iteration 5,  iteration 6,  iteration 7,  iteration 8,  iteration 9,  iteration 10,  iteration 11,  iteration 12,  iteration 13,  iteration 14,  iteration 15, reconstruction, program, THREADS_PER_BLOCK, ENDPOINTS_TX_MODE, ENDPOINTS_ALG, MAX_ENDPOINTS_HISTORIES, ENDPOINTS_PER_BLOCK, ENDPOINTS_PER_THREAD, DROP_TX_MODE, MLP_ALGORITHM, HISTORIES_PER_BLOCK, HISTORIES_PER_THREAD, VOXELS_PER_THREAD, LAMBDA, DROP_BLOCK_SIZE, TRIG_TABLE_MIN, TRIG_TABLE_MAX, TRIG_TABLE_STEP, DEPTH_TABLE_RANGE, DEPTH_TABLE_STEP, POLY_TABLE_RANGE, POLY_TABLE_STEP, 
07042015, Blake Schultze, //home//share//organized_data//, input_CTP404_4M//Simulated//141028, //home//share//Output//, input_CTP404_4M//Simulated//141028//07042015, 30.120000, 39.900000, 36.710000, 0.150000, 0.000000, 204.760000,  17.060000,  17.040000,  17.040000,  17.050000,  17.040000,  17.050000,  17.040000,  17.050000,  17.040000,  17.050000,  17.050000,  17.100000, , , , 241.470000, 281.400000, 1024, PARTIAL_TX_PREALLOCATED, NO_BOOL, 10240000, 320, 1, PARTIAL_TX_PREALLOCATED, TABULATED, 320, 1, 1, 0.100000, 3200000, -6.283185, 12.566371, 0.000017, 20.000000, 0.000050, 20.000000, 0.000050, 
07052015, Blake Schultze, //home//share//organized_data//, input_CTP404_4M//Simulated//141028, //home//share//reconstruction_data//, input_CTP404_4M//Simulated//141028//B_3200000_L_0.110000, 29.280000, 39.070000, 55.830000, 0.160000, 0.000000, 204.930000,  17.050000,  17.070000,  17.060000,  17.040000,  17.070000,  17.060000,  17.070000,  17.060000,  17.100000,  17.060000,  17.060000,  17.060000, , , , 260.760000, 299.860000, 1024, PARTIAL_TX_PREALLOCATED, NO_BOOL, 10240000, 320, 1, PARTIAL_TX_PREALLOCATED, TABULATED, 320, 1, 1, 0.110000, 3200000, -6.283185, 12.566371, 0.000017, 20.000000, 0.000050, 20.000000, 0.000050, 
07052015, Blake Schultze, //home//share//organized_data//, input_CTP404_4M//Simulated//141028, //home//share//reconstruction_data//, input_CTP404_4M//Simulated//141028//B_3200000_L_0.090000, 29.200000, 39.070000, 55.840000, 0.150000, 0.000000, 204.930000,  17.060000,  17.060000,  17.060000,  17.100000,  17.060000,  17.050000,  17.050000,  17.060000,  17.050000,  17.100000,  17.060000,  17.070000, , , , 260.770000, 299.870000, 1024, PARTIAL_TX_PREALLOCATED, NO_BOOL, 10240000, 320, 1, PARTIAL_TX_PREALLOCATED, TABULATED, 320, 1, 1, 0.090000, 3200000, -6.283185, 12.566371, 0.000017, 20.000000, 0.000050, 20.000000, 0.000050, 
